snapshot,Generator 0,Generator 1,Generator 2,Electrolysis,Fuel Cell,Load 0,Load 1
2019-01-09 14:00:00+00:00,10.0,1.0,2.0,0.0,7.9756,8.89268,8.89268
2019-01-09 15:00:00+00:00,10.0,1.0,2.0,0.0,7.5902,8.777059999999999,8.777059999999999
2019-01-09 16:00:00+00:00,10.0,1.0,2.0,0.0,8.47253,9.04176,9.04176
2019-01-09 17:00:00+00:00,10.0,1.0,2.0,0.0,8.41,9.023,9.023
2019-01-09 18:00:00+00:00,10.0,1.0,2.0,0.0,7.95023,8.885069999999999,8.885069999999999
2019-01-09 19:00:00+00:00,10.0,1.0,2.0,0.0,6.02917,8.30875,8.30875
2019-01-09 20:00:00+00:00,10.0,1.0,2.0,0.0,3.5153,7.55459,7.55459
2019-01-09 21:00:00+00:00,10.0,1.0,2.0,0.0,2.27,7.181,7.181
2019-01-09 22:00:00+00:00,10.0,1.0,2.0,0.39826,0.0,6.30087,6.30087
2019-01-09 23:00:00+00:00,10.0,1.0,2.0,1.47996,0.0,5.760020000000001,5.760020000000001
2019-01-10 00:00:00+00:00,10.0,1.0,2.0,1.6023,0.0,5.69885,5.69885
2019-01-10 01:00:00+00:00,10.0,1.0,2.0,1.8892,0.0,5.5554,5.5554
2019-01-10 02:00:00+00:00,10.0,1.0,2.0,2.17094,0.0,5.41453,5.41453
2019-01-10 03:00:00+00:00,10.0,1.0,2.0,2.02168,0.0,5.48916,5.48916
2019-01-10 04:00:00+00:00,10.0,1.0,2.0,1.12038,0.0,5.9398100000000005,5.9398100000000005
2019-01-10 05:00:00+00:00,10.0,1.0,2.0,0.0,1.05363,6.81609,6.81609
2019-01-10 06:00:00+00:00,10.0,1.0,2.0,0.0,2.61,7.283,7.283
2019-01-10 07:00:00+00:00,10.0,1.0,2.0,0.0,4.93253,7.979760000000001,7.979760000000001
2019-01-10 08:00:00+00:00,10.0,1.0,2.0,0.0,5.67477,8.20243,8.20243
2019-01-10 09:00:00+00:00,10.0,1.0,2.0,0.0,6.103,8.3309,8.3309
2019-01-10 10:00:00+00:00,10.0,1.0,2.0,0.0,5.89823,8.26947,8.26947
2019-01-10 11:00:00+00:00,10.0,1.0,2.0,0.0,5.37527,8.11258,8.11258
2019-01-10 12:00:00+00:00,10.0,1.0,2.0,0.0,4.79033,7.9371,7.9371
2019-01-10 13:00:00+00:00,10.0,1.0,2.0,0.0,4.94563,7.983689999999999,7.983689999999999
2019-01-10 14:00:00+00:00,10.0,1.0,2.0,0.0,4.63113,7.88934,7.88934
2019-01-10 15:00:00+00:00,10.0,1.0,2.0,0.0,5.04253,8.01276,8.01276
2019-01-10 16:00:00+00:00,10.0,1.0,2.0,0.0,6.567,8.4701,8.4701
2019-01-10 17:00:00+00:00,10.0,1.0,2.0,0.0,6.65053,8.49516,8.49516
2019-01-10 18:00:00+00:00,10.0,1.0,2.0,0.0,6.19207,8.35762,8.35762
2019-01-10 19:00:00+00:00,10.0,1.0,2.0,0.0,4.47667,7.843,7.843
2019-01-10 20:00:00+00:00,10.0,1.0,2.0,0.0,2.37397,7.21219,7.21219
2019-01-10 21:00:00+00:00,10.0,1.0,2.0,0.0,0.902667,6.7708,6.7708
2019-01-10 22:00:00+00:00,10.0,1.0,2.0,0.86748,0.0,6.066260000000001,6.066260000000001
2019-01-10 23:00:00+00:00,10.0,1.0,2.0,1.93414,0.0,5.53293,5.53293
2019-01-11 00:00:00+00:00,10.0,1.0,2.0,2.06232,0.0,5.46884,5.46884
2019-01-11 01:00:00+00:00,10.0,1.0,2.0,2.30034,0.0,5.34983,5.34983
2019-01-11 02:00:00+00:00,10.0,1.0,2.0,2.47666,0.0,5.2616700000000005,5.2616700000000005
2019-01-11 03:00:00+00:00,10.0,1.0,2.0,2.33502,0.0,5.33249,5.33249
2019-01-11 04:00:00+00:00,10.0,1.0,2.0,1.36684,0.0,5.81658,5.81658
2019-01-11 05:00:00+00:00,10.0,1.0,2.0,0.0,0.429833,6.62895,6.62895
2019-01-11 06:00:00+00:00,10.0,1.0,2.0,0.0,2.5924,7.27772,7.27772
2019-01-11 07:00:00+00:00,10.0,1.0,2.0,0.0,4.7919,7.93757,7.93757
2019-01-11 08:00:00+00:00,10.0,1.0,2.0,0.0,5.41383,8.12415,8.12415
2019-01-11 09:00:00+00:00,10.0,1.0,2.0,0.0,5.55957,8.16787,8.16787
2019-01-11 10:00:00+00:00,10.0,1.0,2.0,0.0,5.4097,8.12291,8.12291
2019-01-11 11:00:00+00:00,10.0,1.0,2.0,0.0,4.7566,7.9269799999999995,7.9269799999999995
2019-01-11 12:00:00+00:00,10.0,1.0,2.0,0.0,4.1005,7.73015,7.73015
2019-01-11 13:00:00+00:00,10.0,1.0,2.0,0.0,4.51717,7.85515,7.85515
2019-01-11 14:00:00+00:00,10.0,1.0,2.0,0.0,4.64213,7.89264,7.89264
2019-01-11 15:00:00+00:00,10.0,1.0,2.0,0.0,4.47667,7.843,7.843
2019-01-11 16:00:00+00:00,10.0,1.0,2.0,0.0,6.4426,8.432780000000001,8.432780000000001
2019-01-11 17:00:00+00:00,10.0,1.0,2.0,0.0,6.46417,8.43925,8.43925
2019-01-11 18:00:00+00:00,10.0,1.0,2.0,0.0,5.89667,8.269,8.269
2019-01-11 19:00:00+00:00,10.0,1.0,2.0,0.0,4.2391,7.77173,7.77173
2019-01-11 20:00:00+00:00,10.0,1.0,2.0,0.0,2.24827,7.17448,7.17448
2019-01-11 21:00:00+00:00,10.0,1.0,2.0,0.0,1.07367,6.822100000000001,6.822100000000001
2019-01-11 22:00:00+00:00,10.0,1.0,2.0,0.65884,0.0,6.17058,6.17058
2019-01-11 23:00:00+00:00,10.0,1.0,2.0,1.65804,0.0,5.670979999999999,5.670979999999999
2019-01-12 00:00:00+00:00,10.0,1.0,2.0,1.82086,0.0,5.58957,5.58957
2019-01-12 01:00:00+00:00,10.0,1.0,2.0,2.22054,0.0,5.389729999999999,5.389729999999999
2019-01-12 02:00:00+00:00,10.0,1.0,2.0,2.632,0.0,5.184,5.184
2019-01-12 03:00:00+00:00,10.0,1.0,2.0,2.46654,0.0,5.26673,5.26673
2019-01-12 04:00:00+00:00,10.0,1.0,2.0,2.10406,0.0,5.447970000000001,5.447970000000001
2019-01-12 05:00:00+00:00,10.0,1.0,2.0,1.2915,0.0,5.85425,5.85425
2019-01-12 06:00:00+00:00,10.0,1.0,2.0,0.408,0.0,6.296,6.296
2019-01-12 07:00:00+00:00,10.0,1.0,2.0,0.0,2.90333,7.371,7.371
2019-01-12 08:00:00+00:00,10.0,1.0,2.0,0.0,4.71413,7.9142399999999995,7.9142399999999995
2019-01-12 09:00:00+00:00,10.0,1.0,2.0,0.0,5.75257,8.22577,8.22577
2019-01-12 10:00:00+00:00,10.0,1.0,2.0,0.0,6.2214,8.36642,8.36642
2019-01-12 11:00:00+00:00,10.0,1.0,2.0,0.0,6.12317,8.33695,8.33695
2019-01-12 12:00:00+00:00,10.0,1.0,2.0,0.0,5.05637,8.01691,8.01691
2019-01-12 13:00:00+00:00,10.0,1.0,2.0,0.0,5.24,8.072,8.072
2019-01-12 14:00:00+00:00,10.0,1.0,2.0,0.0,5.1139,8.03417,8.03417
2019-01-12 15:00:00+00:00,10.0,1.0,2.0,0.0,5.0452,8.01356,8.01356
2019-01-12 16:00:00+00:00,10.0,1.0,2.0,0.0,6.13953,8.34186,8.34186
2019-01-12 17:00:00+00:00,10.0,1.0,2.0,0.0,5.82667,8.248,8.248
2019-01-12 18:00:00+00:00,10.0,1.0,2.0,0.0,5.2,8.06,8.06
