DATE,HOUR,ENERGY(MWh)
20200525,5,198.3075934
20200525,6,201.5748932
20200525,7,215.2936052
20200525,8,370.0011376
20200525,9,697.7875179
20200525,10,1072.419758
20200525,11,1406.913839
20200525,12,1648.547066
20200525,13,1697.740643
20200525,14,1724.45514
20200525,15,1524.371862
20200525,16,1325.133873
20200525,17,1180.017097
20200525,18,881.3684027
20200525,19,536.6074205
20200525,20,283.1052248
20200525,21,191.901332
20200525,22,186.7195418
20200525,23,183.9332584
20200525,24,183.2797588
20200526,1,178.0248637
20200526,2,181.9389223
20200526,3,183.4169792
20200526,4,179.4129934
20200526,5,174.7729068
20200526,6,172.8027687
20200526,7,197.5733336
20200526,8,391.5947779
20200526,9,762.9140919
20200526,10,1144.603141
20200526,11,1423.021448
20200526,12,1573.620951
20200526,13,1522.482953
20200526,14,1283.273029
20200526,15,1111.847951
20200526,16,954.1187835
20200526,17,816.2368668
20200526,18,644.357291
20200526,19,440.2268133
20200526,20,273.3994301
20200526,21,187.5923292
20200526,22,170.7297607
20200526,23,170.5566411
20200526,24,180.1119676
20200527,1,188.7059891
20200527,2,198.6515781
20200527,3,202.5829929
20200527,4,199.6359013
20200527,5,208.8280795
20200527,6,224.3188761
20200527,7,241.5362986
20200527,8,351.7829816
20200527,9,564.9076897
20200527,10,854.317638
20200527,11,1214.797789
20200527,12,1429.57077
20200527,13,1540.06744
20200527,14,1495.038833
20200527,15,1406.826566
20200527,16,1274.688138
20200527,17,1022.465263
20200527,18,826.5242842
20200527,19,558.1709827
20200527,20,328.4627312
20200527,21,187.3984961
20200527,22,183.4806137
20200527,23,180.5403308
20200527,24,186.5056516
20200528,1,171.5805732
20200528,2,168.7836065
20200528,3,164.4212876
20200528,4,174.8161359
20200528,5,181.870792
20200528,6,180.8867558
20200528,7,202.2424063
20200528,8,393.7144058
20200528,9,776.9456376
20200528,10,1287.158628
20200528,11,1686.125328
20200528,12,1923.244336
20200528,13,1962.595253
20200528,14,1730.0439
20200528,15,1468.293532
20200528,16,1323.677356
20200528,17,1312.571117
20200528,18,1034.945079
20200528,19,657.8934337
20200528,20,321.4439439
20200528,21,184.2792403
20200528,22,162.9111485
20200528,23,159.9976808
20200528,24,157.3067594
20200529,1,160.7452614
20200529,2,169.209612
20200529,3,160.0218248
20200529,4,163.1814689
20200529,5,164.8554755
20200529,6,170.5021407
20200529,7,194.1904152
20200529,8,397.2349708
20200529,9,799.7196992
20200529,10,1295.562909
20200529,11,1708.13351
20200529,12,1900.766021
20200529,13,1919.36649
20200529,14,1833.640034
20200529,15,1594.793395
20200529,16,1451.546142
20200529,17,1166.45294
20200529,18,912.9624365
20200529,19,571.9269649
20200529,20,293.6800088
20200529,21,150.6859501
20200529,22,134.6798748
20200529,23,131.5270796
20200529,24,125.0912773
20200530,1,124.9584005
20200530,2,124.2798744
20200530,3,129.618307
20200530,4,132.6456271
20200530,5,131.7657274
20200530,6,130.1379985
20200530,7,164.4239458
20200530,8,377.740435
20200530,9,865.2810902
20200530,10,1397.531052
20200530,11,1815.383079
20200530,12,2063.359375
20200530,13,2121.117571
20200530,14,2046.124688
20200530,15,1915.186013
20200530,16,1734.05161
20200530,17,1470.317952
20200530,18,1068.750907
20200530,19,621.789637
20200530,20,293.8535335
20200530,21,153.2013701
20200530,22,129.5046606
20200530,23,126.6055116
20200530,24,128.0498424
20200531,1,129.4901153
20200531,2,133.1992492
20200531,3,131.0694972
20200531,4,129.048017
20200531,5,130.2127077
20200531,6,122.9639776
20200531,7,153.5543644
20200531,8,345.0337047
20200531,9,733.733607
20200531,10,1187.492698
20200531,11,1480.565121
20200531,12,1596.247634
20200531,13,1622.014309
20200531,14,1520.425536
20200531,15,1371.962433
20200531,16,1197.170169
20200531,17,1057.403843
20200531,18,945.4321844
20200531,19,595.3698604
20200531,20,298.741482
20200531,21,147.4847015
20200531,22,128.6040654
20200531,23,131.3501775
20200531,24,127.7796681
20200601,1,130.6099587
20200601,2,127.6176301
20200601,3,131.7278591
20200601,4,137.7799853
20200601,5,143.4282335
20200601,6,134.5617363
20200601,7,168.5120738
20200601,8,339.9185009
20200601,9,741.7640066
20200601,10,1196.317279
20200601,11,1563.345684
20200601,12,1717.495838
20200601,13,1659.192819
20200601,14,1544.224884
20200601,15,1425.105457
20200601,16,1123.060023
20200601,17,964.2650734
20200601,18,813.6295537
20200601,19,556.3151027
20200601,20,301.1862174
20200601,21,166.7615052
20200601,22,162.6530525
20200601,23,166.3177437
20200601,24,159.0259483
20200602,1,154.1477515
20200602,2,152.7237113
20200602,3,156.0251683
20200602,4,154.8022866
20200602,5,151.2997503
20200602,6,148.2012039
20200602,7,176.1013896
20200602,8,359.1194812
20200602,9,778.0043951
20200602,10,1241.668665
20200602,11,1586.467886
20200602,12,1801.991667
20200602,13,1859.057661
20200602,14,1796.6111
20200602,15,1739.198649
20200602,16,1488.61936
20200602,17,1253.023828
20200602,18,944.5111574
20200602,19,597.2744718
20200602,20,309.1416757
20200602,21,181.981332
20200602,22,155.8329904
20200602,23,162.4650492
20200602,24,148.8570829
20200603,1,151.5958769
20200603,2,166.268917
20200603,3,158.615225
20200603,4,153.6072684
20200603,5,145.354371
20200603,6,141.565515
20200603,7,163.9030892
20200603,8,338.5436821
20200603,9,716.6518926
20200603,10,1141.494755
20200603,11,1546.059174
20200603,12,1798.937724
20200603,13,1877.07641
20200603,14,1848.059987
20200603,15,1695.952818
20200603,16,1541.204664
20200603,17,1315.283032
20200603,18,1015.868673
20200603,19,640.7299164
20200603,20,308.1386036
20200603,21,158.1916138
20200603,22,136.8865781
20200603,23,134.0332369
20200603,24,130.4214532
20200604,1,129.6315983
20200604,2,129.152092
20200604,3,125.3613659
20200604,4,123.0869861
20200604,5,121.1821302
20200604,6,116.4289288
20200604,7,141.4402253
20200604,8,332.2764886
20200604,9,765.4020124
20200604,10,1248.324522
20200604,11,1627.296659
20200604,12,1902.987348
20200604,13,2040.97938
20200604,14,2067.5807
20200604,15,1994.277314
20200604,16,1825.065754
20200604,17,1569.057399
20200604,18,1201.751145
20200604,19,736.6596594
20200604,20,333.3439456
20200604,21,178.9585801
20200604,22,153.8427239
20200604,23,148.3267226
20200604,24,153.6171748
20200605,1,153.8161747
20200605,2,145.6226948
20200605,3,141.2269756
20200605,4,141.4178886
20200605,5,141.977296
20200605,6,144.1804771
20200605,7,182.3689805
20200605,8,362.2793859
20200605,9,728.0392842
20200605,10,1188.695622
20200605,11,1576.936173
20200605,12,1855.663505
20200605,13,1975.566766
20200605,14,2015.267082
20200605,15,1942.251826
20200605,16,1790.646418
20200605,17,1545.72
20200605,18,1128.070989
20200605,19,709.0847342
20200605,20,383.6438668
20200605,21,235.8911693
20200605,22,222.0461756
20200605,23,205.4909266
20200605,24,201.0929485
20200606,1,205.6588934
20200606,2,199.4953759
20200606,3,199.218094
20200606,4,200.4213785
20200606,5,195.4475443
20200606,6,197.1853063
20200606,7,207.3571671
20200606,8,335.4110153
20200606,9,590.7404946
20200606,10,840.0714539
20200606,11,1108.894843
20200606,12,1288.105537
20200606,13,1420.816351
20200606,14,1390.379692
20200606,15,1366.002591
20200606,16,1137.98786
20200606,17,1028.991753
20200606,18,798.1401558
20200606,19,509.8701088
20200606,20,284.8076477
20200606,21,174.9891543
20200606,22,154.565579
20200606,23,149.7279453
20200606,24,149.5218378
20200607,1,147.2232018
20200607,2,148.3344037
20200607,3,146.1222669
20200607,4,138.8477776
20200607,5,124.2557034
20200607,6,124.5203064
20200607,7,153.2150658
20200607,8,322.9262232
20200607,9,689.0852806
20200607,10,1116.434018
20200607,11,1451.10818
20200607,12,1716.543098
20200607,13,1863.250074
20200607,14,1927.048068
20200607,15,1875.901106
20200607,16,1694.110896
20200607,17,1436.471644
20200607,18,1098.005073
20200607,19,687.0362622
20200607,20,301.1246671
20200607,21,142.5800735
20200607,22,115.7343399
20200607,23,120.5495125
20200607,24,120.2498897
20200608,1,124.9275142
20200608,2,122.2095453
20200608,3,121.3118013
20200608,4,119.973077
20200608,5,116.2976839
20200608,6,114.9997319
