,Diesel Gen,PV Park
98,2.32848,0.0
99,2.34541,0.0
100,2.54311,0.0
101,2.85426,0.0
102,3.02209,0.172577
103,2.74891,0.862884
104,2.12074,1.71631
105,1.70861,2.21277
106,1.72059,2.26241
107,1.89522,2.09929
108,2.06904,1.82033
109,2.8013,1.13712
110,3.61105,0.347518
111,3.95732,0.0472813
112,4.22866,0.0
113,4.23207,0.0
114,3.50824,0.0
115,3.94899,0.0
116,3.61858,0.0
117,3.38809,0.0
118,3.21426,0.0
119,2.81817,0.0
120,2.78877,0.0
121,2.67115,0.0
122,2.57904,0.0
123,2.5755,0.0
124,2.10829,0.0
125,2.71886,0.0378251
126,2.57776,0.340426
127,1.66059,1.47991
128,1.5,2.47991
129,1.5,2.80378
130,1.5,2.8227
131,1.5,2.67612
132,1.5,2.2766
133,2.00498,1.45154
134,3.05891,0.416076
135,3.56107,0.0378251
136,3.92087,0.0
137,3.94111,0.0
138,3.92896,0.0
139,3.79135,0.0
140,2.87398,0.0
141,3.38569,0.0
142,3.08088,0.0
143,2.79644,0.0
144,2.11556,0.0
145,2.69827,0.0
146,2.55904,0.0
147,2.65402,0.0
148,2.84879,0.0
149,3.19637,0.0283688
150,3.11595,0.449173
151,2.15712,1.7896
152,1.5,2.96454
153,1.5,3.54137
154,1.5,3.70686
155,1.5,3.53191
156,1.5,3.01655
157,2.03459,2.04019
158,3.39123,0.671395
159,4.16503,0.0330969
160,3.85608,0.0
161,4.55387,0.0
162,4.4937,0.0
163,4.21089,0.0
164,3.84279,0.0
165,3.5865,0.0
166,2.59474,0.0
167,2.25807,0.0
168,2.93459,0.0
169,2.85398,0.0
170,2.77629,0.0
171,2.78148,0.0
172,3.02659,0.0
173,3.47193,0.0212766
174,3.40583,0.364066
175,2.60388,1.48463
176,1.6561,2.60757
177,1.5,3.18676
178,1.5,3.42317
179,1.5,3.21986
180,1.5,2.67376
181,2.56598,1.63357
182,3.68143,0.51773
183,4.28916,0.0212766
184,4.65552,0.0
185,3.99215,0.0
186,4.59755,0.0
187,4.26375,0.0
188,3.86488,0.0
189,3.57494,0.0
190,3.22375,0.0
191,2.92251,0.0
192,2.89049,0.0
193,2.77977,0.0
194,2.73013,0.0
195,2.76103,0.0
196,2.9973,0.0
197,3.48781,0.00236407
198,3.29434,0.446809
199,2.15678,1.85343
200,1.5,3.0331
201,1.5,3.60047
202,1.5,3.77305
203,1.5,3.5461
204,1.5,2.78014
205,2.03144,1.91017
206,3.28404,0.65721
207,4.04327,0.0591017
208,4.46617,0.0
209,4.46145,0.0
210,4.3789,0.0
211,3.36227,0.0
212,3.70714,0.0
213,3.18216,0.0
214,2.44871,0.0
215,2.83766,0.0
216,2.80981,0.0
217,2.70612,0.0
218,2.60555,0.0
219,2.58438,0.0
220,2.65409,0.0
221,2.7719,0.0520095
222,2.81147,0.276596
223,2.52725,0.957447
