,Diesel,Solar
132,0.07499979999999996,-0.07499979999999996
133,0.10024899999999994,-0.10024899999999994
134,0.15294544999999993,-0.15294544999999993
135,0.17805349499999992,-0.17805349499999992
136,0.1960432499999999,-0.1960432499999999
137,0.1970557499999999,-0.1970557499999999
138,0.1964482499999999,-0.1964482499999999
139,0.1895677499999999,-0.1895677499999999
140,0.14369899999999994,-0.14369899999999994
141,0.16928449999999992,-0.16928449999999992
142,0.15404424999999994,-0.15404424999999994
143,0.13982199999999992,-0.13982199999999992
144,0.10577774999999995,-0.10577774999999995
145,0.13491324999999993,-0.13491324999999993
146,0.12795189999999995,-0.12795189999999995
147,0.13270099999999993,-0.13270099999999993
148,0.14243974999999992,-0.14243974999999992
149,0.1598183099999999,-0.1598183099999999
150,0.15579759999999993,-0.15579759999999993
