,load 1
189,3.5749400000000002
190,3.22375
191,2.9225100000000004
192,2.89049
193,2.779775
194,2.73013
195,2.7610300000000003
196,2.997305
197,3.49017
198,3.74115
199,4.010205
200,4.072185
201,4.05572
202,4.029085
203,3.963085
204,3.8179000000000003
205,3.941605
206,3.941255
207,4.102375
208,4.466165
209,4.461455
210,4.3789
211,4.049265
212,3.707135
213,3.4387350000000003
214,3.13571
215,2.837665
216,2.80981
217,2.70612
218,2.605555
219,2.584375
220,2.65409
221,2.8239050000000003
222,3.08807
223,3.4846950000000003
224,3.66657
225,3.679275
226,3.656725
227,3.597925
228,3.449785
229,3.5088049999999997
230,3.51013
231,3.640505
232,3.96521
233,3.9602
234,3.8595349999999997
235,3.65915
236,3.40113
237,3.199875
238,2.918645
239,2.6738299999999997
240,2.641985
241,2.504895
242,2.40375
243,2.3787249999999998
244,2.42821
245,2.500185
246,2.590485
247,2.81254
248,3.0194050000000003
249,3.16958
250,3.2217350000000002
251,3.120435
252,2.89843
253,2.93133
254,2.9718299999999997
255,3.1496
256,3.515915
257,3.5575349999999997
258,3.53219
259,3.4148
260,3.166285
261,2.934535
262,2.643085
263,2.3864099999999997
264,2.3674899999999997
265,2.2840599999999998
266,2.205
267,2.245265
268,2.48866
269,2.9558449999999996
270,3.2089499999999997
271,3.5139699999999996
272,3.60461
273,3.6694050000000002
274,3.7369149999999998
275,3.728455
276,3.5951750000000002
277,3.6768449999999997
278,3.709815
279,3.8145
280,4.077375
281,4.090525
282,4.06172
283,3.82432
284,3.45831
285,3.19417
286,2.8793
287,2.60103
288,2.58167
289,2.499045
290,2.439605
291,2.4740300000000004
292,2.726525
293,3.246095
294,3.5029749999999997
295,3.77186
296,3.8341999999999996
297,3.858705
298,3.8781849999999998
299,3.83352
300,3.6939349999999997
301,3.74034
302,3.72966
303,3.874385
304,4.219685
305,4.233895
306,4.17752
307,3.872085
308,3.5090700000000004
309,3.242505
310,2.914985
311,2.6053
312,2.59739
313,2.5311999999999997
314,2.47483
315,2.51829
316,2.7933649999999997
317,3.28156
318,3.47964
319,3.7124800000000002
320,3.72725
321,3.6715050000000002
322,3.622045
323,3.563335
324,3.42081
325,3.499395
326,3.48923
327,3.6451350000000002
328,4.070679999999999
329,4.1158850000000005
330,4.09014
331,3.8614699999999997
332,3.5179699999999996
333,3.2635
334,2.90875
335,2.650225
336,2.6675
337,2.55266
338,2.5050850000000002
339,2.526025
340,2.7534650000000003
341,3.231145
342,3.44283
343,3.639
344,3.671795
345,3.642045
346,3.60203
347,3.546025
348,3.3860349999999997
349,3.439305
350,3.3845
351,3.6285
352,4.048
353,4.076505
354,4.03083
355,3.78346
356,3.4945
357,3.228955
358,2.927875
359,2.661735
360,2.63984
361,2.55079
362,2.496505
363,2.5371149999999996
364,2.7889
365,3.24337
366,3.3838000000000004
367,3.5941199999999998
368,3.596795
369,3.548555
370,3.52285
371,3.48041
372,3.36441
373,3.4282399999999997
374,3.42143
375,3.60385
376,4.036135
377,4.062295
378,4.013755
379,3.7458
380,3.4576149999999997
381,3.229375
382,2.9821050000000002
383,2.7298899999999997
384,2.70024
385,2.60389
386,2.5207550000000003
387,2.518735
388,2.62568
389,2.797475
390,3.039425
391,3.367395
392,3.466505
393,3.465625
394,3.44502
395,3.39534
396,3.2308499999999998
397,3.2919
398,3.29706
399,3.4431550000000004
400,3.847025
401,3.87587
402,3.803515
403,3.58081
404,3.323455
405,3.13697
406,2.880115
407,2.62256
408,2.58616
409,2.4763200000000003
410,2.3861149999999998
411,2.360365
412,2.414835
413,2.48921
414,2.650875
415,2.91256
416,3.213175
417,3.4492800000000003
418,3.46377
419,3.40233
420,3.186185
421,3.252895
422,3.268105
423,3.3211999999999997
424,3.57522
425,3.60443
426,3.559235
427,3.41413
428,3.17266
429,2.97885
430,2.663665
431,2.405325
432,2.3828850000000004
433,2.294765
434,2.2277750000000003
435,2.2809299999999997
436,2.53126
437,2.96153
438,3.168965
439,3.5025
440,3.503165
441,3.5395250000000003
442,3.541275
443,3.528285
444,3.37476
445,3.436815
446,3.413545
447,3.464455
448,3.80188
449,3.8202
450,3.781985
451,3.5672550000000003
452,3.262925
453,3.0143649999999997
454,2.726285
455,2.471495
456,2.46019
457,2.386805
458,2.3312399999999998
459,2.374595
460,2.61591
461,3.04279
462,3.1772199999999997
463,3.38254
464,3.37476
465,3.390755
466,3.40254
467,3.35442
468,3.24296
469,3.33211
470,3.34259
471,3.439705
472,3.777565
473,3.815
474,3.7608449999999998
475,3.505245
476,3.204
477,2.969725
478,2.68844
479,2.47792
480,2.458715
481,2.37698
482,2.3398499999999998
483,2.38043
484,2.61291
485,3.007695
486,3.1688
487,3.3592750000000002
488,3.364915
489,3.36512
490,3.338275
491,3.289175
492,3.18018
493,3.2124800000000002
494,3.167585
495,3.27054
496,3.60923
497,3.656775
498,3.63958
499,3.4547399999999997
500,3.156705
501,2.92307
502,2.6739949999999997
503,2.4528000000000003
504,2.4440749999999998
505,2.3672
506,2.331175
507,2.36469
508,2.5966
509,2.982205
510,3.06424
511,3.2948150000000003
512,3.35519
513,3.34742
514,3.3162350000000003
515,3.22617
516,3.2345
517,3.1311799999999996
518,3.1259
519,3.2695
520,3.621355
521,3.644175
522,3.6041849999999998
523,3.38031
524,3.115905
525,2.894855
526,2.6398099999999998
527,2.42061
528,2.386905
529,2.2984250000000004
530,2.2342600000000004
531,2.2705100000000003
532,2.457145
533,2.73629
534,2.99014
535,3.24019
536,3.265085
537,3.28355
538,3.28746
539,3.2678499999999997
540,3.1663200000000002
541,3.215055
542,3.17761
543,3.309545
544,3.62473
545,3.64767
546,3.616215
547,3.3971
548,3.12689
549,2.967045
550,2.713975
551,2.5099699999999996
552,2.48353
553,2.3968000000000003
554,2.32688
555,2.317505
556,2.3906300000000003
557,2.538025
558,2.78594
559,3.072805
560,3.24716
561,3.376475
562,3.470775
563,3.457065
564,3.2978850000000004
565,3.37621
566,3.381315
567,3.405105
568,3.683805
569,3.6988649999999996
570,3.602435
571,3.4070300000000002
572,3.147515
573,2.97038
574,2.70689
575,2.478225
576,2.42302
577,2.29472
578,2.2254699999999996
579,2.24725
580,2.332335
581,2.447285
582,2.59742
583,2.806
584,2.9818000000000002
585,3.063615
586,3.031415
587,2.9323449999999998
588,2.6724
589,2.6968449999999997
590,2.729855
591,2.82473
592,3.191995
593,3.2638499999999997
594,3.26032
595,3.172605
596,3.0313049999999997
597,2.918505
598,2.662605
599,2.424445
600,2.38964
601,2.29619
602,2.245965
603,2.26621
604,2.480455
605,2.79352
606,3.111185
607,3.425395
608,3.48105
609,3.527875
610,3.572175
611,3.55667
612,3.44202
613,3.4649
614,3.462645
615,3.51937
616,3.784325
617,3.8473200000000003
618,3.8329
619,3.606375
620,3.292255
621,3.029455
622,2.7555
623,2.53281
624,2.52018
625,2.4159699999999997
626,2.3618
627,2.408655
628,2.6305
629,3.06866
630,3.2885
631,3.570685
632,3.66504
633,3.7317600000000004
634,3.775575
635,3.76268
636,3.609105
637,3.654225
638,3.6486750000000003
639,3.650495
640,3.936295
641,4.00521
642,3.97933
643,3.75152
644,3.419925
645,3.1438800000000002
646,2.8319699999999997
647,2.5922199999999997
648,2.5556
649,2.468525
650,2.4043449999999997
651,2.4547
652,2.7107449999999997
653,3.140325
654,3.364695
655,3.573555
656,3.59612
657,3.589915
658,3.5826149999999997
659,3.55381
660,3.4242600000000003
661,3.478865
662,3.525455
663,3.5660250000000002
664,3.8669499999999997
665,3.9129
666,3.88388
667,3.66979
668,3.36054
669,3.1207249999999997
670,2.807355
671,2.5593000000000004
672,2.5085100000000002
673,2.4340450000000002
674,2.37976
675,2.4322600000000003
676,2.662015
677,3.108355
678,3.301235
679,3.560265
680,3.6268800000000003
681,3.67239
682,3.6801999999999997
683,3.6719850000000003
684,3.5742849999999997
685,3.6682550000000003
686,3.6113299999999997
687,3.607425
688,3.91675
689,3.952585
690,3.917425
691,3.6862
692,3.402605
693,3.1697550000000003
694,2.824085
695,2.55987
696,2.5188200000000003
697,2.42815
698,2.379075
699,2.415
700,2.64081
701,3.006605
702,3.212
703,3.46748
704,3.52398
705,3.5372600000000003
706,3.510145
707,3.481705
708,3.311
709,3.473095
710,3.47351
711,3.52521
712,3.79385
713,3.807765
714,3.7383699999999997
715,3.4837350000000002
716,3.218165
717,3.01669
718,2.744235
719,2.507125
720,2.4709899999999996
721,2.374535
722,2.29041
723,2.260775
724,2.351235
725,2.49245
726,2.73168
727,3.0685149999999997
728,3.26594
729,3.358645
730,3.418155
731,3.4459250000000003
732,3.2784899999999997
733,3.32084
734,3.29111
735,3.257665
736,3.5540700000000003
737,3.6022600000000002
738,3.4817750000000003
739,3.258175
740,2.99368
741,2.802435
742,2.5336849999999997
743,2.30725
744,2.2682800000000003
745,2.1504749999999997
746,2.06219
747,2.03299
748,2.090815
749,2.1437600000000003
750,2.290175
751,2.5637950000000003
752,2.8111149999999996
753,2.952795
754,2.996145
755,2.91194
756,2.63492
757,2.6851
758,2.663845
759,2.685015
760,3.048105
761,3.16174
762,3.1461900000000003
763,3.06938
764,2.8418850000000004
765,2.624145
766,2.34643
767,2.13742
768,2.1154699999999997
769,2.03951
770,2.0363599999999997
771,2.0965149999999997
772,2.3185
773,2.71623
774,2.914375
775,3.12349
776,3.1732750000000003
777,3.2211999999999996
778,3.248485
779,3.266025
780,3.182455
781,3.2712
782,3.265605
783,3.28098
784,3.59702
785,3.71677
786,3.69252
787,3.48931
788,3.144855
789,2.89675
790,2.59907
791,2.3328249999999997
792,2.305865
793,2.211105
794,2.184865
795,2.20188
796,2.47646
797,2.9345749999999997
798,3.14319
799,3.356525
800,3.40977
801,3.424975
802,3.40205
803,3.37141
804,3.203885
805,3.235595
806,3.187915
807,3.26831
808,3.7104899999999996
809,3.834605
810,3.8305
811,3.6201999999999996
812,3.2767049999999998
813,2.9962750000000002
814,2.67956
815,2.433405
816,2.4146300000000003
817,2.316855
818,2.267945
819,2.30998
820,2.55973
821,2.971045
822,3.20256
823,3.399685
824,3.440765
825,3.4563
826,3.417645
827,3.3939250000000003
828,3.26539
829,3.293535
830,3.233565
831,3.247695
832,3.65192
833,3.7598949999999998
834,3.72744
835,3.506645
836,3.1628049999999996
837,2.861775
838,2.5979099999999997
839,2.3812249999999997
840,2.3629949999999997
841,2.284205
842,2.2411950000000003
843,2.26906
844,2.499715
845,2.9034050000000002
846,3.0846199999999997
847,3.23535
848,3.24678
849,3.2353850000000004
850,3.233565
851,3.1905349999999997
852,3.04157
853,3.092235
854,3.03396
855,3.06338
856,3.4835100000000003
857,3.59631
858,3.59125
859,3.382385
860,3.0568
861,2.821435
862,2.552915
863,2.312295
864,2.2824899999999997
865,2.19877
866,2.15025
867,2.20523
868,2.430725
869,2.7835
870,2.973215
871,3.1761950000000003
872,3.26386
873,3.320735
874,3.31633
875,3.32944
876,3.2334099999999997
877,3.217645
878,3.0949
879,3.1038249999999996
880,3.52632
881,3.6422600000000003
882,3.62726
883,3.395855
884,3.08656
885,2.891195
886,2.637795
887,2.4003249999999996
888,2.390045
889,2.2832
890,2.210255
891,2.23352
892,2.342075
893,2.462665
894,2.7298
895,2.9670300000000003
896,3.064415
897,3.1056999999999997
898,3.12541
899,3.09628
900,2.956605
901,3.009985
902,2.898
903,2.974685
904,3.402115
905,3.5341
906,3.49954
907,3.307655
908,3.0203
909,2.8321
910,2.590595
911,2.36694
912,2.33967
913,2.24645
914,2.147965
915,2.113955
916,2.165615
917,2.215955
918,2.37581
919,2.6253
920,2.893375
921,3.0667
922,3.1571700000000003
923,3.04701
924,2.813755
925,2.861355
926,2.8276149999999998
927,2.85697
928,3.24177
929,3.39684
930,3.3872649999999997
931,3.3223949999999998
932,3.109125
933,2.872305
934,2.548575
935,2.3119
936,2.320885
937,2.23643
938,2.1816750000000003
939,2.23436
940,2.5143400000000002
941,2.976015
942,3.2711
943,3.59561
944,3.71889
945,3.79787
946,3.8443899999999998
947,3.835335
948,3.74348
949,3.84615
950,3.825215
951,3.756045
952,3.999295
953,4.07878
954,4.04241
955,3.80581
956,3.45693
957,3.185075
958,2.8783649999999996
959,2.627815
960,2.593285
961,2.51308
962,2.449695
963,2.50558
964,2.757915
965,3.23355
966,3.51187
967,3.83407
968,3.935625
969,4.019925
970,4.130604999999999
971,4.050015
972,3.8842849999999998
973,3.992345
974,3.94474
975,3.897145
976,4.24058
977,4.373234999999999
978,4.32077
979,4.03397
980,3.663585
981,3.3771999999999998
982,3.03706
983,2.750975
984,2.699695
985,2.5977449999999997
986,2.55846
987,2.60103
988,2.8716500000000003
989,3.355105
990,3.67526
991,4.011575
992,4.11713
993,4.152654999999999
994,4.101005
995,4.045
996,3.902955
997,3.9582800000000002
998,3.9220450000000002
999,3.88063
1000,4.2231499999999995
1001,4.34588
1002,4.298229999999999
1003,4.0625
1004,3.7551300000000003
1005,3.45504
1006,3.11318
1007,2.8148449999999996
1008,2.772665
1009,2.670365
1010,2.611535
1011,2.63905
1012,2.897505
1013,3.384515
1014,3.68524
1015,3.984415
1016,4.0719
1017,4.104535
1018,4.1448100000000005
1019,4.1045
1020,3.92313
1021,3.9984450000000002
1022,3.9931550000000002
1023,3.9607449999999997
1024,4.347365
1025,4.49389
1026,4.335095
1027,3.94523
1028,3.56075
1029,3.30949
1030,3.03956
1031,2.78295
1032,2.749125
1033,2.653625
1034,2.58012
1035,2.62357
1036,2.87687
1037,3.331105
1038,3.576385
1039,3.8739899999999996
1040,3.9317399999999996
1041,3.93381
1042,3.950145
1043,3.944405
1044,3.85931
1045,3.8435
1046,3.9021500000000002
1047,3.84597
1048,4.18595
1049,4.307875
1050,4.263095
1051,3.9489650000000003
1052,3.599215
1053,3.343415
1054,3.026965
1055,2.7775700000000003
1056,2.731275
1057,2.62679
1058,2.5461300000000002
1059,2.535495
1060,2.61021
1061,2.77869
1062,3.07958
1063,3.405625
1064,3.59404
1065,3.6510100000000003
1066,3.67418
1067,3.6776950000000004
1068,3.53094
1069,3.609245
1070,3.5994699999999997
1071,3.486745
1072,3.856135
1073,4.031495
1074,3.927235
1075,3.7177849999999997
1076,3.40444
1077,3.2130349999999996
1078,2.9340949999999997
1079,2.66421
1080,2.64644
1081,2.5285
1082,2.4346550000000002
1083,2.41433
1084,2.46446
1085,2.5205900000000003
1086,2.697855
1087,2.934905
1088,3.12442
1089,3.297445
1090,3.33722
1091,3.26896
1092,3.025205
1093,3.07715
1094,3.060455
1095,3.0069899999999996
1096,3.4491750000000003
1097,3.68099
1098,3.679605
1099,3.6010549999999997
1100,3.341895
1101,3.12066
1102,2.775765
1103,2.4843249999999997
1104,2.4776100000000003
1105,2.3945
1106,2.34804
1107,2.400605
1108,2.6715
1109,3.124
1110,3.2645
1111,3.617575
1112,3.648055
1113,3.64977
1114,3.6891550000000004
1115,3.6825
1116,3.5942
1117,3.57
1118,3.5385
1119,3.56562
1120,3.9137399999999998
1121,4.074364999999999
1122,4.05771
1123,3.82185
1124,3.4555
1125,3.200175
1126,2.8540799999999997
1127,2.576375
1128,2.5561700000000003
1129,2.45434
1130,2.3780349999999997
1131,2.407925
1132,2.65556
1133,3.1146599999999998
1134,3.39421
1135,3.6789699999999996
1136,3.772745
1137,3.858475
1138,3.931775
1139,3.912645
1140,3.7597899999999997
1141,3.90713
1142,3.91034
1143,3.881115
1144,4.1774
1145,4.313065
1146,4.24425
1147,3.9430549999999998
1148,3.5795
1149,3.2976550000000002
1150,2.90348
1151,2.6261
1152,2.61699
1153,2.53501
1154,2.474545
1155,2.5224450000000003
1156,2.78492
1157,3.28288
1158,3.5913600000000003
1159,3.91872
1160,4.016895
1161,4.06117
1162,4.099
1163,4.09005
1164,3.97196
1165,3.8725
1166,3.939645
1167,3.807255
1168,4.156265
1169,4.3709
1170,4.37056
1171,4.125439999999999
1172,3.7354000000000003
1173,3.4613899999999997
1174,3.0543
1175,2.749795
1176,2.70397
1177,2.60918
1178,2.57374
1179,2.58988
1180,2.8804250000000002
1181,3.3566599999999998
1182,3.67073
1183,3.9357800000000003
1184,4.00224
1185,4.04047
1186,4.04101
1187,3.99107
1188,3.780675
1189,3.850555
1190,3.7850900000000003
1191,3.7217249999999997
1192,4.138925
1193,4.379365
1194,4.312435000000001
1195,4.06267
1196,3.7070749999999997
1197,3.4475599999999997
1198,3.053795
1199,2.76851
1200,2.72982
1201,2.633
1202,2.570275
1203,2.6281
1204,2.9045
1205,3.372945
1206,3.567725
1207,3.780515
1208,3.777955
1209,3.69
1210,3.7016799999999996
1211,3.6523049999999997
1212,3.432
1213,3.456
1214,3.5194699999999997
1215,3.508195
1216,3.921205
1217,4.150535
1218,4.138
1219,3.8585
1220,3.5321350000000002
1221,3.3300349999999996
1222,3.0215349999999996
1223,2.74421
1224,2.7057849999999997
1225,2.581995
1226,2.5241350000000002
1227,2.540285
1228,2.628545
1229,2.7901599999999998
1230,3.0531550000000003
1231,3.31169
1232,3.385535
1233,3.36669
1234,3.370875
1235,3.3473699999999997
1236,3.208935
1237,3.2359
1238,3.17962
1239,3.16124
1240,3.5797
1241,3.814635
1242,3.75072
1243,3.5676
1244,3.3196399999999997
1245,3.0935799999999998
1246,2.774955
1247,2.529
1248,2.493255
1249,2.379205
1250,2.2863200000000004
1251,2.272815
1252,2.2940300000000002
1253,2.338225
1254,2.5300700000000003
1255,2.822975
1256,3.04581
1257,3.2727199999999996
1258,3.39569
1259,3.323505
1260,3.08936
1261,3.1769000000000003
1262,3.188705
1263,3.1023400000000003
1264,3.3252550000000003
1265,3.43417
1266,3.402895
1267,3.262625
