,PV Park
363,0.0
364,0.0
365,0.009456264775413711
366,0.5059101654846335
367,1.905437352245863
368,3.0047281323877066
369,3.569739952718676
370,3.7375886524822697
371,3.565011820330969
372,3.0803782505910164
373,2.182033096926714
374,0.8368794326241135
375,0.0425531914893617
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.002364066193853428
390,0.44680851063829785
391,1.7257683215130024
392,2.810874704491726
393,3.3711583924349884
394,3.5508274231678487
395,3.408983451536643
396,2.983451536643026
397,2.106382978723404
398,0.8085106382978723
399,0.04491725768321513
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.026004728132387706
414,0.24349881796690306
415,0.6548463356973995
416,0.900709219858156
417,1.1891252955082743
418,1.2411347517730495
419,1.1867612293144207
420,0.8817966903073287
421,0.5602836879432624
422,0.23167848699763594
423,0.02127659574468085
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.01182033096926714
438,0.19858156028368795
439,0.8297872340425532
440,1.4940898345153664
441,1.8605200945626477
442,2.0969267139479904
443,2.021276595744681
444,1.673758865248227
445,1.099290780141844
446,0.40425531914893614
447,0.04491725768321513
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.009456264775413711
462,0.3073286052009456
463,1.1867612293144207
464,1.9148936170212767
465,2.4113475177304964
466,2.399527186761229
467,2.0260047281323876
468,1.5130023640661938
469,0.723404255319149
470,0.23404255319148937
471,0.018912529550827423
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.002364066193853428
486,0.19858156028368795
487,0.706855791962175
488,1.24822695035461
489,1.8699763593380614
490,2.2789598108747047
491,2.297872340425532
492,2.0307328605200947
493,1.4326241134751774
494,0.5815602836879432
495,0.04018912529550828
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.002364066193853428
510,0.3309692671394799
511,1.148936170212766
512,1.872340425531915
513,2.4562647754137115
514,2.6713947990543736
515,2.5508274231678487
516,2.193853427895981
517,1.4609929078014185
518,0.5224586288416075
519,0.03309692671394799
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.004728132387706856
534,0.3215130023640662
535,1.1134751773049645
536,1.8628841607565012
537,2.3191489361702127
538,2.1513002364066196
539,1.9574468085106382
540,1.3026004728132388
541,0.8226950354609929
542,0.22695035460992907
543,0.014184397163120567
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0070921985815602835
558,0.2222222222222222
559,0.6855791962174941
560,1.049645390070922
561,1.293144208037825
562,1.425531914893617
563,1.2647754137115839
564,0.8392434988179669
565,0.5531914893617021
