,H2
637,12.2364
638,12.2364
639,12.2364
640,11.0914
641,11.0914
642,11.0914
643,11.0914
644,11.0914
645,11.0914
646,11.0914
647,11.0914
648,11.0914
649,11.0914
650,11.0914
651,11.0914
652,11.0914
653,11.0914
654,11.0914
655,11.0914
656,11.0914
657,11.0914
658,11.0914
659,11.0914
660,11.0914
661,11.0914
662,11.0914
663,11.0914
664,11.0914
665,11.0914
666,11.0914
667,11.0914
668,11.0914
669,11.0914
670,11.0914
671,11.0914
672,11.0914
673,11.0914
674,11.0914
675,11.0914
676,11.0914
677,11.0914
678,11.0914
679,11.0914
680,11.0914
681,11.0914
682,11.0914
683,11.0914
684,11.0914
685,11.0914
686,11.0914
687,11.0914
688,11.0914
689,11.0914
690,11.0914
691,11.0914
692,11.0914
693,11.0914
694,11.0914
695,11.0914
696,11.0914
697,11.0914
698,11.0914
699,11.0914
700,11.0914
701,11.0914
702,11.0914
703,11.0914
704,11.0914
705,11.0914
706,11.0914
707,11.0914
708,11.0914
709,11.0914
710,11.0914
711,11.0914
712,11.0914
713,11.0914
714,11.0914
715,11.0914
716,11.0914
717,11.0914
718,11.0914
719,11.0914
720,11.0914
721,11.0914
722,11.0914
723,11.0914
724,11.0914
725,11.0914
726,11.0914
727,11.0914
728,11.0914
729,11.0914
730,11.0914
731,11.0914
732,11.0914
733,11.0914
734,11.0914
735,11.0914
736,11.0914
737,11.0914
738,11.0914
739,11.0914
740,11.0914
741,11.0914
742,11.0914
743,11.0914
744,11.0914
745,11.0914
746,11.0914
747,11.0914
748,11.0914
749,11.0914
750,11.0914
751,11.0914
752,11.2294
753,11.6869
754,12.2994
755,13.0371
756,13.5599
757,13.6934
758,13.6934
759,13.6934
760,13.6934
761,13.6934
762,13.6934
763,13.6934
764,13.6934
765,13.6934
766,13.6934
767,13.6934
768,12.6677
769,11.8907
770,11.8907
771,11.8907
772,11.8907
773,11.8907
774,11.8907
775,11.8907
776,11.9258
777,12.0365
778,12.249
779,12.34
780,12.34
781,12.34
782,12.34
783,12.34
784,11.195
785,11.195
786,11.195
787,11.195
788,11.195
789,11.195
790,10.05
791,10.05
792,10.05
793,8.90496
794,8.90496
795,8.90496
796,7.75996
797,7.75996
798,7.75996
799,7.93983
800,8.73443
801,9.81626
802,11.0449
803,12.2552
804,13.2353
805,13.6934
806,13.6934
807,13.6934
808,12.5484
809,12.5484
810,11.4034
811,10.2584
812,10.2584
813,10.2584
814,10.2584
815,10.2584
816,9.11345
817,7.96845
818,7.96845
819,7.96845
820,7.96845
821,7.96845
822,7.96845
823,7.96845
824,7.96845
825,8.16949
826,8.46047
827,8.7333
828,8.96538
829,8.96538
830,8.96538
831,8.96538
832,8.96538
833,8.96538
834,7.82038
835,7.82038
836,7.82038
837,7.82038
838,6.67538
839,6.67538
840,6.67538
841,6.67538
842,6.67538
843,6.67538
844,6.67538
845,6.67538
846,6.67538
847,6.67538
848,7.22166
849,8.24921
850,9.47827
851,10.6415
852,11.5978
853,11.9461
854,11.9461
855,11.9461
856,10.8011
857,9.65615
858,8.51115
859,7.36615
860,7.36615
861,7.36615
862,6.22115
863,6.22115
864,6.22115
865,5.07615
866,5.07615
867,3.93115
868,2.92993
869,2.92993
870,2.92993
871,2.92993
