,Line
831,-3.14131
832,-3.65192
833,-3.7599
834,-3.04044
835,-3.50664
836,-3.16281
837,-2.86178
838,-1.91091
839,-2.38123
840,-2.363
841,-2.28421
842,-2.24119
843,-2.26906
844,-2.49972
845,-2.88686
846,-2.57162
847,-1.66088
848,-1.5
849,-1.5
850,-1.5
851,-1.5
852,-1.5
853,-1.5
854,-2.03396
855,-2.9239
856,-2.79651
857,-2.90931
858,-2.90425
859,-2.69539
860,-3.0568
861,-2.82144
862,-1.86592
863,-2.3123
864,-2.28249
865,-1.51177
866,-2.15025
867,-1.51823
868,-1.83
869,-2.77404
870,-2.71553
871,-2.597
872,-2.60192
873,-2.51695
874,-2.15321
875,-1.69114
876,-1.5
877,-1.5
878,-1.89632
879,-2.92888
880,-2.83932
881,-2.95526
882,-2.94026
883,-3.39586
884,-3.08656
885,-2.8912
886,-2.6378
887,-2.40033
888,-2.39005
889,-2.2832
890,-2.21026
891,-2.23352
892,-2.34207
893,-2.4272
894,-1.94966
895,-1.5
896,-1.5
897,-1.5
898,-1.5
899,-1.5
900,-1.5
901,-1.5
902,-2.02566
903,-2.84703
904,-3.40211
905,-3.5341
906,-3.49954
907,-3.30766
908,-3.0203
909,-2.8321
910,-2.59059
911,-2.36694
912,-2.33967
913,-2.24645
914,-2.14797
915,-2.11395
916,-2.16561
917,-2.20413
918,-1.97392
919,-1.5
920,-1.5
921,-1.5
922,-1.5
923,-1.5
924,-1.5
925,-1.5753
926,-2.1704
927,-2.74113
928,-3.24177
929,-3.39684
930,-3.38727
931,-3.3224
932,-2.59767
933,-2.8723
934,-2.54858
935,-2.3119
936,-1.63389
937,-2.23643
938,-2.18167
939,-2.23436
940,-2.51434
941,-2.96656
942,-3.12689
943,-3.06606
944,-2.9553
945,-2.91135
946,-3.02406
947,-3.10247
948,-3.20684
949,-3.55537
950,-3.70938
951,-3.7395
952,-3.3123
953,-3.39178
954,-4.04241
955,-3.11881
956,-3.45693
957,-2.49808
958,-2.87837
959,-2.62782
960,-2.59328
961,-2.51308
962,-2.4497
963,-2.50558
964,-2.75792
965,-3.21464
966,-3.05561
967,-2.52201
968,-1.88125
969,-1.5
970,-1.52304
971,-1.66704
972,-1.79681
973,-2.3635
974,-3.03457
975,-3.71748
976,-4.24058
977,-4.37324
978,-4.31474
979,-4.03397
980,-3.66358
981,-3.3772
982,-3.03706
983,-2.75097
984,-2.6997
985,-2.59775
986,-2.55846
987,-2.60103
988,-2.87165
989,-3.32437
990,-2.99914
991,-2.33072
992,-1.62068
993,-1.5
994,-1.5
995,-1.5
996,-1.5
997,-1.65568
998,-2.55798
999,-3.61113
1000,-4.22315
1001,-4.34588
1002,-4.29823
1003,-4.0625
1004,-3.51603
1005,-3.45504
1006,-2.42618
1007,-2.81485
1008,-2.77266
1009,-2.67036
1010,-2.61153
1011,-2.63905
1012,-2.89751
1013,-3.36324
1014,-3.02803
1015,-2.26101
1016,-1.58254
1017,-1.5
1018,-1.5
1019,-1.5
1020,-1.5
1021,-1.63911
1022,-2.56999
1023,-3.64396
1024,-4.34736
1025,-4.49389
1026,-4.33509
1027,-3.94523
1028,-3.56075
1029,-3.30949
1030,-2.54019
1031,-2.09595
1032,-2.74912
1033,-2.65362
1034,-2.58012
1035,-2.62357
1036,-2.87687
1037,-3.28855
1038,-2.73714
1039,-1.88345
1040,-1.5
1041,-1.5
1042,-1.5
1043,-1.5
1044,-1.5
1045,-1.61655
1046,-2.5941
1047,-2.88001
1048,-4.18595
1049,-4.30788
1050,-3.5761
1051,-3.94896
1052,-3.59922
1053,-3.34341
1054,-3.02697
1055,-2.77757
1056,-2.73128
1057,-2.62679
1058,-2.54613
1059,-2.5355
1060,-2.61021
1061,-2.73377
1062,-2.27107
1063,-1.50964
1064,-1.5
1065,-1.5
1066,-1.5
1067,-1.5
1068,-1.5
1069,-1.5
1070,-2.29687
1071,-3.18887
1072,-3.35334
1073,-4.03149
1074,-3.24024
1075,-3.03079
1076,-3.40444
1077,-3.21304
1078,-2.9341
1079,-2.66421
1080,-2.64644
1081,-2.5285
1082,-2.43465
1083,-2.41433
1084,-2.46446
1085,-2.4544
1086,-1.71677
1087,-1.5
1088,-1.5
1089,-1.5
1090,-1.5
1091,-1.5
1092,-1.5
1093,-1.5
1094,-1.54745
1095,-2.64765
1096,-3.44917
