,Diesel,Solar,Hydrogen
253,1.5,-1.500002,-6.000000000033756e-07
254,2.43282,-2.432823,0.0
255,3.09759,-3.0975905,0.0
256,2.82892,-2.8289150000000003,0.0
257,2.87054,-2.870535,0.0
258,3.53219,-3.53219,0.0
259,3.4148,-3.4148,0.0
260,3.16628,-3.166285,0.0
261,2.93453,-2.934535,0.0
262,1.95609,-1.9560850000000003,0.0
263,1.69941,-1.6994099999999999,0.0
264,1.68049,-1.6804899999999998,0.0
265,1.59706,-1.59706,0.0
266,2.205,-2.205,0.0
267,1.55827,-1.558265,0.0
268,2.48866,-2.48866,0.0
269,2.93457,-2.9345683999999994,0.0
270,3.07893,-3.0789259999999996,0.0
271,3.00097,-3.0009679999999994,0.0
272,2.4604,-2.4604,0.0
273,1.98146,-1.9814650000000003,0.0
274,1.72037,-1.7203649999999997,0.0
275,1.66699,-1.666985,0.0
276,1.72047,-1.7204750000000002,0.0
277,2.44044,-2.4404349999999995,0.0
278,3.22518,-3.225181,0.0
279,3.75776,-3.7577624,0.0
280,4.07737,-4.077375,0.0
281,4.09053,-4.090525,0.0
282,4.06172,-4.06172,0.0
283,3.82432,-3.82432,0.0
284,2.77131,-2.77131,0.0
285,3.19417,-3.19417,0.0
286,2.22023,-2.2202300000000004,0.0
287,2.60103,-2.60103,0.0
288,1.89467,-1.89467,0.0
289,1.81205,-1.8120450000000003,0.0
290,2.4396,-2.439605,0.0
291,2.47403,-2.4740300000000004,0.0
292,2.03953,-2.0395250000000003,0.0
293,3.19645,-3.1964496,0.0
294,3.03489,-3.03489,0.0
295,1.95862,-1.9586200000000002,0.0
296,1.5,-1.5000019999999994,3.999999999559911e-07
297,1.5,-1.500005,9.999999999177334e-07
298,1.5,-1.5000049999999998,2.9999999999752447e-06
299,1.5,-1.5000000000000002,-2.0000000000575113e-06
300,1.5,-1.5000039999999997,2.9999999984209325e-07
301,1.57013,-1.5701300000000002,0.0
302,2.9377,-2.937698,0.0
303,3.8011,-3.8010989000000004,0.0
304,4.21969,-4.219685,0.0
305,4.2339,-4.233895,0.0
306,3.49052,-3.4905200000000005,0.0
307,3.18509,-3.1850850000000004,0.0
308,3.50907,-3.5090700000000004,0.0
309,3.2425,-3.242505,0.0
310,2.64039,-2.6403914000000004,0.0
311,2.6053,-2.6053,0.0
312,2.59739,-2.59739,0.0
313,2.5312,-2.5311999999999997,0.0
314,2.47483,-2.47483,0.0
315,2.51829,-2.51829,0.0
316,2.79337,-2.7933649999999997,0.0
317,3.25083,-3.2508271,0.0
318,2.92881,-2.928813,0.0
319,1.7243,-1.7243000000000002,0.0
320,1.5,-1.4999980000000002,-4.0000000001150227e-07
321,1.5,-1.5000050000000005,5.000000000032756e-06
322,1.5,-1.499995,-2.0000000000575113e-06
323,1.5,-1.499995,-2.0000000000575113e-06
324,1.5,-1.4999999999999998,2.9999999998642224e-06
325,1.5,-1.4999999999999998,-4.999999999866223e-07
326,2.62398,-2.623982,0.0
327,3.60495,-3.6049459,0.0
328,4.07068,-4.070679999999999,0.0
329,4.11588,-4.1158850000000005,0.0
330,3.40314,-3.40314,0.0
331,3.86147,-3.8614699999999997,0.0
332,3.51797,-3.5179699999999996,0.0
333,2.5765,-2.5765000000000002,0.0
334,2.22175,-2.22175,0.0
335,1.96323,-1.963225,0.0
336,2.6675,-2.6675,0.0
337,2.55266,-2.55266,0.0
338,2.50508,-2.5050850000000002,0.0
