,Diesel,Solar,Hydrogen
602,500.0,500.0,270.0
603,500.0,500.0,270.0
604,500.0,500.0,270.0
605,500.0,500.0,270.0
606,500.0,500.0,270.0
607,500.0,500.0,270.0
608,500.0,500.0,270.0
609,500.0,500.0,270.0
610,500.0,500.0,270.0
611,500.0,500.0,270.0
612,500.0,500.0,270.0
613,500.0,500.0,270.0
614,500.0,500.0,270.0
615,500.0,500.0,270.0
616,500.0,500.0,270.0
617,500.0,500.0,270.0
618,500.0,500.0,270.0
619,500.0,500.0,270.0
620,500.0,500.0,270.0
621,500.0,500.0,270.0
622,500.0,500.0,270.0
623,500.0,500.0,270.0
624,500.0,500.0,270.0
625,500.0,500.0,270.0
626,500.0,500.0,270.0
627,500.0,500.0,270.0
628,500.0,500.0,270.0
629,500.0,500.0,270.0
630,500.0,500.0,270.0
631,500.0,500.0,270.0
632,500.0,500.0,270.0
633,500.0,500.0,270.0
634,500.0,500.0,270.0
635,500.0,500.0,270.0
636,500.0,500.0,270.0
637,500.0,500.0,270.0
638,500.0,500.0,270.0
639,500.0,500.0,270.0
640,500.0,500.0,270.0
641,500.0,500.0,270.0
642,500.0,500.0,270.0
643,500.0,500.0,270.0
644,500.0,500.0,270.0
645,500.0,500.0,270.0
646,500.0,500.0,270.0
647,500.0,500.0,270.0
648,500.0,500.0,270.0
649,500.0,500.0,270.0
650,500.0,500.0,270.0
651,500.0,500.0,270.0
652,500.0,500.0,270.0
653,500.0,500.0,270.0
654,500.0,500.0,270.0
655,500.0,500.0,270.0
656,500.0,500.0,270.0
657,500.0,500.0,270.0
658,500.0,500.0,270.0
659,500.0,500.0,270.0
660,500.0,500.0,270.0
661,500.0,500.0,270.0
662,500.0,500.0,270.0
663,500.0,500.0,270.0
664,500.0,500.0,270.0
665,500.0,500.0,270.0
666,500.0,500.0,270.0
667,500.0,500.0,270.0
668,500.0,500.0,270.0
669,500.0,500.0,270.0
670,500.0,500.0,270.0
671,500.0,500.0,270.0
672,500.0,500.0,270.0
673,500.0,500.0,270.0
674,500.0,500.0,270.0
675,500.0,500.0,270.0
676,500.0,500.0,270.0
677,500.0,500.0,270.0
678,500.0,500.0,270.0
679,500.0,500.0,270.0
680,500.0,500.0,270.0
681,500.0,500.0,270.0
682,500.0,500.0,270.0
683,500.0,500.0,270.0
684,500.0,500.0,270.0
685,500.0,500.0,270.0
686,500.0,500.0,270.0
687,500.0,500.0,270.0
688,500.0,500.0,270.0
689,500.0,500.0,270.0
690,500.0,500.0,270.0
691,500.0,500.0,270.0
692,500.0,500.0,270.0
693,500.0,500.0,270.0
694,500.0,500.0,270.0
695,500.0,500.0,270.0
696,500.0,500.0,270.0
697,500.0,500.0,270.0
698,500.0,500.0,270.0
699,500.0,500.0,270.0
700,500.0,500.0,270.0
701,500.0,500.0,270.0
